Cultivo,Característica,Mínimo,Máximo,Rango,Media
apple,N,0.0,40.0,40.0,20.8
apple,P,120.0,145.0,25.0,134.22
apple,K,195.0,205.0,10.0,199.89
apple,temperature,21.0365275,23.99686172,2.96033422,22.6309424132
apple,humidity,90.02575116,94.92048112,4.8947299600000065,92.33338287560002
apple,ph,5.514253142,6.4992268210000015,0.9849736790000012,5.929662931809999
apple,rainfall,100.1173443,124.9831618,24.865817500000006,112.65477927500002
banana,N,80.0,120.0,40.0,100.23
banana,P,70.0,95.0,25.0,82.01
banana,K,45.0,55.0,10.0,50.05
banana,temperature,25.01018457,29.90888522,4.8987006499999985,27.3767983057
banana,humidity,75.03193255,84.97849241,9.946559860000008,80.3581225811
banana,ph,5.505393832999999,6.490074429,0.9846805960000005,5.98389318024
banana,rainfall,90.10978128,119.84797,29.738188719999997,104.62698040009998
blackgram,N,20.0,60.0,40.0,40.02
blackgram,P,55.0,80.0,25.0,67.47
blackgram,K,15.0,25.0,10.0,19.24
blackgram,temperature,25.09737391,34.9466155,9.849241589999998,29.9733396789
blackgram,humidity,60.06534859,69.96100028,9.895651689999994,65.1184255887
blackgram,ph,6.500144962,7.775306272000001,1.2751613100000005,7.133951629480002
blackgram,rainfall,60.41790253,74.91559514,14.497692609999994,67.88415118319999
chickpea,N,20.0,60.0,40.0,40.09
chickpea,P,55.0,80.0,25.0,67.79
chickpea,K,75.0,85.0,10.0,79.92
chickpea,temperature,17.02498456,20.99502153,3.970036969999999,18.8728467519
chickpea,humidity,14.25803981,19.96978871,5.7117489,16.8604394237
chickpea,ph,5.988992796000002,8.868741443,2.8797486469999978,7.33695662374
chickpea,rainfall,65.11365631,94.78189594,29.668239630000002,80.0589772605
coconut,N,0.0,40.0,40.0,21.98
coconut,P,5.0,30.0,25.0,16.93
coconut,K,25.0,35.0,10.0,30.59
coconut,temperature,25.00872392,29.8690834,4.86035948,27.409892172299998
coconut,humidity,90.01734526,99.98187601,9.964530749999994,94.84427180609998
coconut,ph,5.50158009,6.470465614,0.968885524,5.97656212619
coconut,rainfall,131.09000759999998,225.6323656,94.54235800000004,175.68664580399997
coffee,N,80.0,120.0,40.0,101.2
coffee,P,15.0,40.0,25.0,28.74
coffee,K,25.0,35.0,10.0,29.94
coffee,temperature,23.05951896,27.92374437,4.864225410000003,25.5404768193
coffee,humidity,50.04557009,69.94807345,19.902503359999997,58.86984630029999
coffee,ph,6.020947179,7.493191968,1.4722447889999994,6.790308274570001
coffee,rainfall,115.1564012,199.4735636,84.3171624,158.066294882
cotton,N,100.0,140.0,40.0,117.77
cotton,P,35.0,60.0,25.0,46.24
cotton,K,15.0,25.0,10.0,19.56
cotton,temperature,22.00085141,25.99237426,3.991522849999999,23.988957895200006
cotton,humidity,75.00539324,84.87668973,9.871296489999992,79.8434742538
cotton,ph,5.801047545,7.994679507000001,2.1936319620000004,6.912675495780002
cotton,rainfall,60.65381719,99.93100821,39.277191020000004,80.3980431193
grapes,N,0.0,40.0,40.0,23.18
grapes,P,120.0,145.0,25.0,132.53
grapes,K,195.0,205.0,10.0,200.11
grapes,temperature,8.825674745,41.94865736,33.122982615,23.849575120049998
grapes,humidity,80.01639435,83.98351748,3.9671231300000045,81.87522752119999
grapes,ph,5.510924848999999,6.499604931,0.988680082000001,6.025936681099999
grapes,rainfall,65.01095312,74.91506217,9.904109050000002,69.611828886
jute,N,60.0,100.0,40.0,78.4
jute,P,35.0,60.0,25.0,46.86
jute,K,35.0,45.0,10.0,39.99
jute,temperature,23.09433785,26.98582182,3.891483970000003,24.958375826499996
jute,humidity,70.88259632,89.89106506,19.008468739999998,79.6398642063
jute,ph,6.002524871,7.4880144039999985,1.4854895329999982,6.7327775681699995
jute,rainfall,150.2355238,199.83629130000003,49.60076750000002,174.792797536
kidneybeans,N,0.0,40.0,40.0,20.75
kidneybeans,P,55.0,80.0,25.0,67.54
kidneybeans,K,15.0,25.0,10.0,20.05
kidneybeans,temperature,15.33042636,24.92360104,9.59317468,20.1150846851
kidneybeans,humidity,18.09224048,24.96969858,6.877458099999998,21.605356729499995
kidneybeans,ph,5.502999119,5.99812453,0.49512541100000007,5.749410585870001
kidneybeans,rainfall,60.27552528,149.7441028,89.46857752000001,105.91977754210002
lentil,N,0.0,40.0,40.0,18.77
lentil,P,55.0,80.0,25.0,68.36
lentil,K,15.0,25.0,10.0,19.41
lentil,temperature,18.06486101,29.94413861,11.879277599999998,24.509052402600002
lentil,humidity,60.09116626,69.92375891,9.832592650000002,64.80478467849998
lentil,ph,5.91645379,7.841496029,1.9250422389999997,6.9279315716099985
lentil,rainfall,35.03484812,54.93937710000001,19.90452898000001,45.680454204
maize,N,60.0,100.0,40.0,77.76
maize,P,35.0,60.0,25.0,48.44
maize,K,15.0,25.0,10.0,19.79
maize,temperature,18.04185513,26.54986394,8.508008810000003,22.389203910199996
maize,humidity,55.28220433,74.82913698,19.546932650000002,65.0922494467
maize,ph,5.513697923,6.995843776,1.4821458530000005,6.245189722399999
maize,rainfall,60.65171481,109.7515385,49.099823689999994,84.76698766300002
mango,N,0.0,40.0,40.0,20.07
mango,P,15.0,40.0,25.0,27.18
mango,K,25.0,35.0,10.0,29.92
mango,temperature,27.00315545,35.99009679,8.986941340000001,31.2087701513
mango,humidity,45.02236377,54.9640534,9.941689629999999,50.1565726953
mango,ph,4.507523551,6.9674177660000005,2.4598942150000003,5.766372799659999
mango,rainfall,89.29147581,100.8124659,11.520990090000012,94.70451504479999
mothbeans,N,0.0,40.0,40.0,21.44
mothbeans,P,35.0,60.0,25.0,48.01
mothbeans,K,15.0,25.0,10.0,20.23
mothbeans,temperature,24.01825377,31.99928579,7.981032019999997,28.194920484199994
mothbeans,humidity,40.00933429,64.95585424,24.946519949999995,53.16041802789999
mothbeans,ph,3.504752314,9.93509073,6.430338416000001,6.83117408269
mothbeans,rainfall,30.92014047,74.44330654,43.523166069999995,51.198487045700006
mungbean,N,0.0,40.0,40.0,20.99
mungbean,P,35.0,60.0,25.0,47.28
mungbean,K,15.0,25.0,10.0,19.87
mungbean,temperature,27.01470397,29.914544300000006,2.899840330000007,28.5257747353
mungbean,humidity,80.03499648,89.99615558,9.961159100000003,85.49997454300001
mungbean,ph,6.218923893,7.199495367999999,0.9805714749999987,6.72395694037
mungbean,rainfall,36.12042927,59.87232071,23.751891439999994,48.403600902899996
muskmelon,N,80.0,120.0,40.0,100.32
muskmelon,P,5.0,30.0,25.0,17.72
muskmelon,K,45.0,55.0,10.0,50.08
muskmelon,temperature,27.02415146,29.94349168,2.9193402200000023,28.663065755999995
muskmelon,humidity,90.01506395,94.96218673,4.947122780000001,92.34280196090002
muskmelon,ph,6.002927293,6.781050372999999,0.7781230799999994,6.358805451789998
muskmelon,rainfall,20.21126747,29.86681385,9.65554638,24.689952066
orange,N,0.0,40.0,40.0,19.58
orange,P,5.0,30.0,25.0,16.55
orange,K,5.0,15.0,10.0,10.01
orange,temperature,10.01081312,34.90665289,24.895839769999995,22.7657254967
orange,humidity,90.00621688,94.96419851,4.957981630000006,92.17020876340001
orange,ph,6.010391864,7.995848977,1.9854571129999998,7.01695745276
orange,rainfall,100.1737964,119.6946577,19.520861299999993,110.47496871999999
papaya,N,31.0,70.0,39.0,49.88
papaya,P,46.0,70.0,24.0,59.05
papaya,K,45.0,55.0,10.0,50.04
papaya,temperature,23.012401800000006,43.67549305,20.663091249999994,33.7238587388
papaya,humidity,90.03863107,94.94482086,4.906189789999999,92.40338768259998
papaya,ph,6.501521192,6.993473247000001,0.4919520550000005,6.74144237274
papaya,rainfall,40.35153141,248.8592986,208.50776718999998,142.6278388629
pigeonpeas,N,0.0,40.0,40.0,20.73
pigeonpeas,P,55.0,80.0,25.0,67.73
pigeonpeas,K,15.0,25.0,10.0,20.29
pigeonpeas,temperature,18.31910448,36.97794384,18.65883936,27.741762225899997
pigeonpeas,humidity,30.40046769,69.69141302,39.29094533,48.0616330847
pigeonpeas,ph,4.548202098,7.445444882999999,2.8972427849999987,5.794174879789999
pigeonpeas,rainfall,90.05422663,198.8298806,108.77565397,149.4575638135
pomegranate,N,0.0,40.0,40.0,18.87
pomegranate,P,5.0,30.0,25.0,18.75
pomegranate,K,35.0,45.0,10.0,40.21
pomegranate,temperature,18.07132963,24.96273236,6.891402729999999,21.837841721999997
pomegranate,humidity,85.12912161,94.99897537,9.869853759999998,90.12550378950002
pomegranate,ph,5.561851831,7.199504273,1.6376524419999994,6.4291718411700005
pomegranate,rainfall,102.5184759,112.4750941,9.956618200000008,107.52844239699999
rice,N,60.0,99.0,39.0,79.89
rice,P,35.0,60.0,25.0,47.58
rice,K,35.0,45.0,10.0,39.87
rice,temperature,20.0454142,26.92995077,6.884536570000002,23.6893322105
rice,humidity,80.12267476,84.96907151,4.846396750000011,82.27282153889999
rice,ph,5.005306977,7.868474653,2.8631676759999998,6.425470922139999
rice,rainfall,182.5616319,298.5601175,115.99848559999998,236.18111359399998
watermelon,N,80.0,120.0,40.0,99.42
watermelon,P,5.0,30.0,25.0,17.0
watermelon,K,45.0,55.0,10.0,50.22
watermelon,temperature,24.04355803,26.98603693,2.942478900000001,25.591767237499997
watermelon,humidity,80.02621335,89.98405233,9.957838979999991,85.1603752936
watermelon,ph,6.000975617000001,6.956508826,0.9555332089999995,6.495778301569998
watermelon,rainfall,40.12650421,59.75980023,19.633296020000003,50.7862189449
